"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3_n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","total_phosphorus_unfiltered_load_pounds","total_nitrogen_computed_load_pounds","organic_nitrogen_computed_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
19,"OH-FM1-12",296.08617844,1.8790084401,2.0498273892,0.04555171976,2.59075406135,0.03245560033,0.83815164358,4.64058145055,2.54520234159,9121,0013-02-26 12:52:00,0013-02-28 00:45:00,0013-02-26 12:48:00,0013-02-28 01:00:00,0.24,9121,0
21,"OH-FM1-13",2.533818457,0.2048619178,0.0808665465,0.00700843403,0.08787498053,0.00355812805,0.01881494982,0.16874152703,0.0808665465,864,0013-03-07 12:45:00,0013-03-08 02:45:00,0013-03-07 12:30:00,0013-03-08 03:00:00,0.06,864,0
24,"OH-FM1-14",51.2365260576,0.22169650698,0.05747687218,0.00410549087,0.34650342943,0.00394127124,0.11659594071,0.40398030161,0.34239793856,1315,0013-03-11 05:14:00,0013-03-11 22:00:00,0013-03-11 05:04:00,0013-03-11 22:15:00,0.07,1315,0
27,"OH-FM1-15",14079.0011408176,0.8106288082,4.21526980264,0.5836527419,35.34341603752,0.1880658835,13.58613882543,39.55868584016,34.75976329562,51940,0013-04-10 15:37:00,0013-04-11 14:30:00,0013-04-10 15:33:00,0013-04-11 14:45:00,11.26,51940,0
28,"OH-FM1-16",414.782195178,0.3005668081,1.2022672324,0.0480906893,2.24823972459,0.0408770859,0.78628276999,3.45050695699,2.20014903529,19258,0013-04-11 19:08:00,0013-04-12 10:30:00,0013-04-11 19:06:00,0013-04-12 10:45:00,1.02,19258,0
31,"OH-FM1-17",124.116650893,0.08187114175,0.0654969134,0.01637422835,0.74993965843,0.01899410489,0.24168361045,0.81543657183,0.73356543008,5246,0013-04-24 07:18:00,0013-04-24 18:15:00,0013-04-24 07:16:00,0013-04-24 18:30:00,0.48,5246,0
32,"OH-FM1-18",504.203847858,0.03926821245,0.01570728498,0.01570728498,1.27229008338,0.00424096694,0.43980397944,1.28799736836,1.2565827984,2516,0013-04-28 17:43:00,0013-04-28 23:15:00,0013-04-28 17:41:00,0013-04-28 23:45:00,0.87,2516,0
38,"OH-FM1-19",924.523641744,0.0236572068,0.16086900624,0.01040917099,1.76955906864,0.00861122328,0.68132755584,1.93042807488,1.75914989765,1516,0013-07-02 16:43:00,0013-07-02 19:04:00,0013-07-02 16:42:00,0013-07-02 19:15:00,1.51,1516,0
39,"OH-FM1-20",340.0299848448,0.0478645812,0.478645812,0.00957291624,0.94771870776,0.02488958222,0.36759998362,1.42636451976,0.93814579152,3067,0013-07-04 14:07:00,0013-07-04 18:30:00,0013-07-04 14:06:00,0013-07-04 18:45:00,1.04,3067,0
41,"OH-FM1-21",29.1602744004,0.11215490154,0.13254670182,0.00611754008,0.19270251265,0.01865849726,0.05607745077,0.32524921447,0.18658497256,1633,0013-07-10 15:17:00,0013-07-10 21:30:00,0013-07-10 15:16:00,0013-07-10 21:45:00,0.49,1633,0
