"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3_n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","total_phosphorus_unfiltered_load_pounds","total_nitrogen_computed_load_pounds","organic_nitrogen_computed_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
187,"OH-FM1-99",5.82251437533,1.10426996774,0.16062108622,0.04417079871,0.28711019161,0.15439701913,0.18973365809,0.44773127783,0.2429393929,3216,0018-01-10 14:00:00,0018-01-10 21:40:00,0018-01-10 14:00:00,0018-01-10 21:40:00,0.21,3216,0
189,"OH-FM1-100",12.65763046,2.0252208736,1.04073850449,0.036566488,0.54005889963,0.15442309161,0.21405459511,1.58079740412,0.50349241163,4506,0018-01-12 00:30:00,0018-01-12 18:45:00,0018-01-12 00:30:00,0018-01-12 18:45:00,0.18,4506,0
192,"OH-FM1-101",14.70072773525,0.8167070964,0.36751819338,0.01061719225,0.22459445151,0.03887525779,0.07652545493,0.59211264489,0.21397725926,1308,0018-01-22 20:45:00,0018-01-23 05:15:00,0018-01-22 20:45:00,0018-01-23 05:15:00,0.15,1308,0
193,"OH-FM1-102",12.90896839261,1.05919740657,0.11584971634,0.04799488249,0.27969431517,0.11369822161,0.15590061828,0.39554403152,0.23169943269,2651,0018-02-14 12:15:00,0018-02-14 21:59:00,0018-02-14 12:15:00,0018-02-14 21:59:00,0.15,2651,0
195,"OH-FM1-103",9.85199933669,1.46945074852,0.76812198218,0.02504745594,0.30557896248,0.08532833324,0.12991280481,1.07370094466,0.28053150654,2675,0018-02-15 13:04:00,0018-02-16 03:21:00,0018-02-15 13:04:00,0018-02-16 03:21:00,0.19,2675,0
196,"OH-FM1-104",24.01296555423,0.68608473012,0.32017287406,0.0205825419,0.34075541596,0.10588574335,0.20422455467,0.66092829002,0.32017287406,3663,0018-02-19 06:56:00,0018-02-19 19:15:00,0018-02-19 06:56:00,0018-02-19 19:15:00,0.19,3663,0
201,"OH-FM1-105",17.10422748942,0.39095377119,0.0488692214,0.01140281833,0.11402818326,0.0698829866,0.12119566907,0.16289740466,0.10262536494,2609,0018-02-24 21:52:00,0018-02-25 04:30:00,0018-02-24 21:52:00,0018-02-25 04:30:00,0.21,2609,0
202,"OH-FM1-106",25.34965510374,0.41218951388,0.06182842708,0.02267042326,0.36272677222,0.09521577771,0.19084374493,0.4245551993,0.34005634895,3301,0018-03-01 11:00:00,0018-03-01 22:45:00,0018-03-01 11:00:00,0018-03-01 22:45:00,0.22,3301,0
203,"OH-FM1-107",20.93373149121,0.30174748095,0.0942960878,0.01508737405,0.32060669851,0.08750676948,0.18632906949,0.41490278631,0.30551932447,3021,0018-03-29 14:56:00,0018-03-30 01:15:00,0018-03-29 14:56:00,0018-03-30 01:15:00,0.21,3021,0
205,"OH-FM1-108",48.7461789317,0.27081210518,0.03385151315,0.0236960592,0.67025996031,0.11204850852,0.31651164792,0.70411147346,0.64656390111,5422,0018-04-03 12:00:00,0018-04-03 22:17:00,0018-04-03 12:00:00,0018-04-03 22:17:00,0.28,5422,0
209,"OH-FM1-109",8.67738531156,0.11569847082,0.00964153924,1.33053241444,1.61013705226,2.12113863172,2.41038480877,1.61977859149,0.27960463782,1544,0018-04-15 14:12:00,0018-04-15 21:15:00,0018-04-15 14:12:00,0018-04-15 21:15:00,0.11,1544,0
211,"OH-FM1-110",41.50933545103,0.17440897248,0.06540336468,0.01874896454,0.28472264758,0.05232269175,0.13080672936,0.35012601226,0.26597368304,698,0018-05-22 15:38:00,0018-05-22 17:15:00,0018-05-22 15:38:00,0018-05-22 17:15:00,0.32,698,0
213,"OH-FM1-111",157.07496484383,0.43631934679,0.62331335255,0.20569340634,1.38375564267,0.68564468781,0.99730136409,2.00706899523,1.17806223633,9984,0018-06-09 22:45:00,0018-06-10 05:45:00,0018-06-09 22:40:00,0018-06-10 05:45:00,1.73,9984,0
215,"OH-FM1-112",13.97362296884,0.56649822847,0.26436583995,0.12840626512,0.76666093586,0.45319858277,0.5287316799,1.03102677581,0.63825467074,6050,0018-06-11 00:45:00,0018-06-11 10:01:00,0018-06-11 00:59:00,0018-06-11 10:01:00,0.51,6050,0
216,"OH-FM1-113",40.67328877236,0.46674265804,0.26671009031,0.18669706322,0.98682733415,0.56275829056,0.66677522578,1.25353742446,0.80013027093,10681,0018-06-11 10:01:00,0018-06-11 17:00:00,0018-06-11 10:01:00,0018-06-11 17:00:00,1.42,10681,0
220,"OHFM1-115",18.69900619248,0.06785929667,0.02261976556,0.00753992185,0.13270262459,0.05142226703,0.08293914037,0.15532239015,0.12516270274,1208,0018-08-20 20:03:00,0018-08-20 21:30:00,0018-08-20 20:03:00,0018-08-20 21:30:00,0.9,1208,0
222,"OH-FM1-116",3.44136469298,0.05180549,0.00740078429,0.00222023529,0.06438682329,0.02949212538,0.04070431357,0.07178760757,0.062166588,593,0018-08-21 06:35:00,0018-08-21 09:00:00,0018-08-21 06:35:00,0018-08-21 09:00:00,0.25,593,0
